twitter code,Party ID,chamber,nominate_dim1,Names altered,Name chronological,delegate,serving at time of tweet,independent,president,Personal Twitter_binary,CongressionalTwitter_binary,PressOfficeTwitter_binary,Campaign Twitter_binary,RetiredTwitter_binary,original codes
Jim_Banks,R,House,0.647,"['banks', 'jim']",Jim Banks,False,True,False,False,True,False,False,False,False,False
RepAndyBarr,R,House,0.476,"['barr', 'andy']",Andy Barr,False,True,False,False,False,True,False,False,False,True
barrforcongress,R,House,0.476,"['barr', 'andy']",Andy Barr,False,True,False,False,True,False,False,False,False,False
RepBarragan,D,House,-0.516,"['barragán', 'nanette']",Nanette Barragán,False,True,False,False,False,True,False,False,False,True
Nanette4CA,D,House,-0.516,"['barragán', 'nanette']",Nanette Barragán,False,True,False,False,True,False,False,False,False,False
RepKarenBass,D,House,-0.584,"['bass', 'karen']",Karen Bass,False,True,False,False,False,True,False,False,False,True
karenbasstweets,D,House,-0.584,"['bass', 'karen']",Karen Bass,False,True,False,False,False,False,False,False,True,False
RepBeatty,D,House,-0.438,"['beatty', 'joyce']",Joyce Beatty,False,True,False,False,False,True,False,False,False,True
JoyceBeatty,D,House,-0.438,"['beatty', 'joyce']",Joyce Beatty,False,True,False,False,True,False,False,False,False,False
RepBentz,R,House,0.473,"['bentz', 'cliff']",Cliff Bentz,False,True,False,False,False,True,False,False,False,True
CliffBentz,R,House,0.473,"['bentz', 'cliff']",Cliff Bentz,False,True,False,False,True,False,False,False,False,False
RepBera,D,House,-0.238,"['bera', 'ami']",Ami Bera,False,True,False,False,False,True,False,False,False,True
BeraForCongress,D,House,-0.238,"['bera', 'ami']",Ami Bera,False,True,False,False,False,False,False,True,False,False
RepJackBergman,R,House,0.431,"['bergman', 'jack']",Jack Bergman,False,True,False,False,False,True,False,False,False,True
JackBergman_MI1,R,House,0.431,"['bergman', 'jack']",Jack Bergman,False,True,False,False,False,False,False,True,False,False
RepDonBeyer,D,House,-0.387,"['beyer', 'don']",Don Beyer,False,True,False,False,False,True,False,False,False,True
DonBeyerVA,D,House,-0.387,"['beyer', 'don']",Don Beyer,False,True,False,False,False,False,False,True,False,False
RepBice,R,House,0.406,"['bice', 'stephanie']",Stephanie Bice,False,True,False,False,False,True,False,False,False,True
stephaniebice,R,House,0.406,"['bice', 'stephanie']",Stephanie Bice,False,True,False,False,True,False,False,False,False,False
RepAndyBiggsAZ,R,House,0.837,"['biggs', 'andy']",Andy Biggs,False,True,False,False,False,True,False,False,False,True
andybiggs4az,R,House,0.837,"['biggs', 'andy']",Andy Biggs,False,True,False,False,True,False,False,False,False,False
RepGusBilirakis,R,House,0.408,"['bilirakis', 'gus']",Gus Bilirakis,False,True,False,False,False,True,False,False,False,True
SanfordBishop,D,House,-0.284,"['bishop', 'sanford']",Sanford Bishop,False,True,False,False,False,True,False,False,False,True
RepDanBishop,R,House,0.724,"['bishop', 'dan']",Dan Bishop,False,True,False,False,False,True,False,False,False,True
repblumenauer,D,House,-0.427,"['blumenauer', 'earl']",Earl Blumenauer,False,True,False,False,False,True,False,False,False,True
BlumenauerMedia,D,House,-0.427,"['blumenauer', 'earl']",Earl Blumenauer,False,True,False,False,False,False,False,True,False,False
RepLBR,D,House,-0.337,"['rochester', 'lisa', 'blunt']",Lisa Blunt Rochester,False,True,False,False,False,True,False,False,False,True
LisaBRochester,D,House,-0.337,"['rochester', 'lisa', 'blunt']",Lisa Blunt Rochester,False,True,False,False,True,False,False,False,False,False
RepBoebert,R,House,0.753,"['boebert', 'lauren']",Lauren Boebert,False,True,False,False,False,True,False,False,False,True
laurenboebert,R,House,0.753,"['boebert', 'lauren']",Lauren Boebert,False,True,False,False,True,False,False,False,False,False
RepBonamici,D,House,-0.394,"['bonamici', 'suzanne']",Suzanne Bonamici,False,True,False,False,False,True,False,False,False,True
RepBost,R,House,0.306,"['bost', 'mike']",Mike Bost,False,True,False,False,False,True,False,False,False,True
BostForCongress,R,House,0.306,"['bost', 'mike']",Mike Bost,False,True,False,False,True,False,False,False,False,False
RepBourdeaux,D,House,-0.303,"['bourdeaux', 'carolyn']",Carolyn Bourdeaux,False,True,False,False,False,True,False,False,False,True
Carolyn4GA7,D,House,-0.303,"['bourdeaux', 'carolyn']",Carolyn Bourdeaux,False,True,False,False,True,False,False,False,False,False
RepBowman,D,House,-0.321,"['bowman', 'jamaal']",Jamaal Bowman,False,True,False,False,False,True,False,False,False,True
JamaalBowmanNY,D,House,-0.321,"['bowman', 'jamaal']",Jamaal Bowman,False,True,False,False,True,False,False,False,False,False
CongBoyle,D,House,-0.398,"['boyle', 'brendan']",Brendan Boyle,False,True,False,False,False,True,False,False,False,True
RepBrendanBoyle,D,House,-0.398,"['boyle', 'brendan']",Brendan Boyle,False,True,False,False,True,False,False,False,False,False
RepKevinBrady,R,House,0.52,"['brady', 'kevin']",Kevin Brady,False,True,False,False,False,True,False,False,False,True
bradyfortexas,R,House,0.52,"['brady', 'kevin']",Kevin Brady,False,True,False,False,True,False,False,False,False,False
RepMoBrooks,R,House,0.652,"['brooks', 'mo']",Mo Brooks,False,True,False,False,False,True,False,False,False,True
MoBrooks,R,House,0.652,"['brooks', 'mo']",Mo Brooks,False,True,False,False,True,False,False,False,False,False
RepAnthonyBrown,D,House,-0.344,"['brown', 'anthony']",Anthony Brown,False,True,False,False,False,True,False,False,False,True
anthonybrownmd4,D,House,-0.344,"['brown', 'anthony']",Anthony Brown,False,True,False,False,False,False,False,False,True,False
RepShontelBrown,D,House,-0.515,"['brown', 'shontel']",Shontel Brown,False,True,False,False,False,True,False,False,False,True
ShontelMBrown,D,House,-0.515,"['brown', 'shontel']",Shontel Brown,False,True,False,False,False,False,False,True,False,False
RepBrownley,D,House,-0.291,"['brownley', 'julia']",Julia Brownley,False,True,False,False,False,True,False,False,False,True
JuliaBrownley,D,House,-0.291,"['brownley', 'julia']",Julia Brownley,False,True,False,False,True,False,False,False,False,False
VernBuchanan,R,House,0.363,"['buchanan', 'vern']",Vern Buchanan,False,True,False,False,False,True,False,False,False,True
RepKenBuck,R,House,0.712,"['buck', 'ken']",Ken Buck,False,True,False,False,False,True,False,False,False,True
BuckForColorado,R,House,0.712,"['buck', 'ken']",Ken Buck,False,True,False,False,True,False,False,False,False,False
RepLarryBucshon,R,House,0.408,"['bucshon', 'larry']",Larry Bucshon,False,True,False,False,False,True,False,False,False,True
DrLarryBucshon,R,House,0.408,"['bucshon', 'larry']",Larry Bucshon,False,True,False,False,True,False,False,False,False,False
RepTedBudd,R,House,0.633,"['budd', 'ted']",Ted Budd,False,True,False,False,False,True,False,False,False,True
TedBuddNC,R,House,0.633,"['budd', 'ted']",Ted Budd,False,True,False,False,True,False,False,False,False,False
RepTimBurchett,R,House,0.665,"['burchett', 'tim']",Tim Burchett,False,True,False,False,False,True,False,False,False,True
timburchett,R,House,0.665,"['burchett', 'tim']",Tim Burchett,False,True,False,False,True,False,False,False,False,False
michaelcburgess,R,House,0.574,"['burgess', 'michael']",Michael Burgess,False,True,False,False,False,True,False,False,False,True
DrBurgessTX,R,House,0.574,"['burgess', 'michael']",Michael Burgess,False,True,False,False,True,False,False,False,False,False
RepCori,D,House,-0.247,"['bush', 'cori']",Cori Bush,False,True,False,False,False,True,False,False,False,True
CoriBush,D,House,-0.247,"['bush', 'cori']",Cori Bush,False,True,False,False,True,False,False,False,False,False
RepCheri,D,House,-0.239,"['bustos', 'cheri']",Cheri Bustos,False,True,False,False,False,True,False,False,False,True
CheriBustos,D,House,-0.239,"['bustos', 'cheri']",Cheri Bustos,False,True,False,False,True,False,False,False,False,False
GKButterfield,D,House,-0.404,"['butterfield', 'g.k', 'george']",George Kenneth Butterfield,False,True,False,False,False,True,False,False,False,True
KenCalvert,R,House,0.348,"['calvert', 'ken']",Ken Calvert,False,True,False,False,False,True,False,False,False,True
TeamCalvert,R,House,0.348,"['calvert', 'ken']",Ken Calvert,False,True,False,False,False,False,False,True,False,False
RepKatCammack,R,House,0.583,"['cammack', 'kat']",Kat Cammack,False,True,False,False,False,True,False,False,False,True
Kat_Cammack,R,House,0.583,"['cammack', 'kat']",Kat Cammack,False,True,False,False,True,False,False,False,False,False
RepCarbajal,D,House,-0.302,"['carbajal', 'salud']",Salud Carbajal,False,True,False,False,False,True,False,False,False,True
carbajalsalud,D,House,-0.302,"['carbajal', 'salud']",Salud Carbajal,False,True,False,False,True,False,False,False,False,False
RepMikeCarey,R,House,0.417,"['carey', 'mike']",Mike Carey,False,True,False,False,False,True,False,False,False,True
MikeCareyOH15,R,House,0.417,"['carey', 'mike']",Mike Carey,False,True,False,False,False,False,False,True,False,False
RepJerryCarl,R,House,0.506,"['carl', 'jerry']",Jerry Carl,False,True,False,False,False,True,False,False,False,True
CarlForAlabama,R,House,0.506,"['carl', 'jerry']",Jerry Carl,False,True,False,False,True,False,False,False,False,False
RepAndreCarson,D,House,-0.427,"['carson', 'andré']",André Carson,False,True,False,False,False,True,False,False,False,True
Andre4Congress,D,House,-0.427,"['carson', 'andré']",André Carson,False,True,False,False,False,False,False,True,False,False
RepBuddyCarter,R,House,0.557,"['carter', 'buddy']",Buddy Carter,False,True,False,False,False,True,False,False,False,True
Buddy_Carter,R,House,0.557,"['carter', 'buddy']",Buddy Carter,False,True,False,False,True,False,False,False,False,False
JudgeCarter,R,House,0.486,"['carter', 'john']",John Carter,False,True,False,False,False,True,False,False,False,True
JudgeJohnCarter,R,House,0.486,"['carter', 'john']",John Carter,False,True,False,False,False,False,False,True,False,False
RepTroyCarter,D,House,-0.49,"['carter', 'troy']",Troy Carter,False,True,False,False,False,True,False,False,False,True
troyc4Congress,D,House,-0.49,"['carter', 'troy']",Troy Carter,False,True,False,False,False,False,False,True,False,False
RepCartwright,D,House,-0.356,"['cartwright', 'matt']",Matt Cartwright,False,True,False,False,False,True,False,False,False,True
CartwrightPA,D,House,-0.356,"['cartwright', 'matt']",Matt Cartwright,False,True,False,False,False,False,False,True,False,False
RepEdCase,D,House,-0.196,"['case', 'ed']",Ed Case,False,True,False,False,False,True,False,False,False,True
EdCaseHawaii,D,House,-0.196,"['case', 'ed']",Ed Case,False,True,False,False,True,False,False,False,False,False
RepCasten,D,House,-0.678,"['casten', 'sean']",Sean Casten,False,True,False,False,False,True,False,False,False,True
SeanCasten,D,House,-0.678,"['casten', 'sean']",Sean Casten,False,True,False,False,True,False,False,False,False,False
VoteCasten,D,House,-0.678,"['casten', 'sean']",Sean Casten,False,True,False,False,False,False,False,True,False,False
USRepKCastor,D,House,-0.438,"['castor', 'kathy']",Kathy Castor,False,True,False,False,False,True,False,False,False,True
KathyCastorFL,D,House,-0.438,"['castor', 'kathy']",Kathy Castor,False,True,False,False,True,False,False,False,False,False
JoaquinCastrotx,D,House,-0.402,"['castro', 'joaquin']",Joaquin Castro,False,True,False,False,False,True,False,False,False,True
Castro4Congress,D,House,-0.402,"['castro', 'joaquin']",Joaquin Castro,False,True,False,False,True,False,False,False,False,False
RepCawthorn,R,House,0.555,"['cawthorn', 'madison']",Madison Cawthorn,False,True,False,False,False,True,False,False,False,True
CawthornforNC,R,House,0.555,"['cawthorn', 'madison']",Madison Cawthorn,False,True,False,False,True,False,False,False,False,False
RepSteveChabot,R,House,0.542,"['chabot', 'steve']",Steve Chabot,False,True,False,False,False,True,False,False,False,True
SteveChabot,R,House,0.542,"['chabot', 'steve']",Steve Chabot,False,True,False,False,True,False,False,False,False,False
RepLizCheney,R,House,0.405,"['cheney', 'liz']",Liz Cheney,False,True,False,False,False,True,False,False,False,True
Liz_Cheney,R,House,0.405,"['cheney', 'liz']",Liz Cheney,False,True,False,False,True,False,False,False,False,False
RepJudyChu,D,House,-0.489,"['chu', 'judy']",Judy Chu,False,True,False,False,False,True,False,False,False,True
JudyChuCampaign,D,House,-0.489,"['chu', 'judy']",Judy Chu,False,True,False,False,True,False,False,False,False,False
RepKClark,D,House,-0.482,"['clark', 'katherine']",Katherine Clark,False,True,False,False,False,True,False,False,False,True
KatherineClark,D,House,-0.482,"['clark', 'katherine']",Katherine Clark,False,True,False,False,True,False,False,False,False,False
RepYvetteClarke,D,House,-0.61,"['clarke', 'yvette']",Yvette Clarke,False,True,False,False,False,True,False,False,False,True
VoteYvette,D,House,-0.61,"['clarke', 'yvette']",Yvette Clarke,False,True,False,False,False,False,False,True,False,False
repcleaver,D,House,-0.453,"['cleaver', 'emanuel']",Emanuel Cleaver,False,True,False,False,False,True,False,False,False,True
Vote4Cleaver,D,House,-0.453,"['cleaver', 'emanuel']",Emanuel Cleaver,False,True,False,False,False,False,False,True,False,False
RepBenCline,R,House,0.717,"['cline', 'ben']",Ben Cline,False,True,False,False,False,True,False,False,False,True
Cline4Virginia,R,House,0.717,"['cline', 'ben']",Ben Cline,False,True,False,False,True,False,False,False,False,False
RepCloudTX,R,House,0.683,"['cloud', 'michael']",Michael Cloud,False,True,False,False,False,True,False,False,False,True
MichaelJCloud,R,House,0.683,"['cloud', 'michael']",Michael Cloud,False,True,False,False,False,False,False,True,False,False
WhipClyburn,D,House,-0.465,"['clyburn', 'james']",James Clyburn,False,True,False,False,False,True,False,False,False,True
ClyburnSC06,D,House,-0.465,"['clyburn', 'james']",James Clyburn,False,True,False,False,False,False,False,True,False,False
Rep_Clyde,R,House,0.809,"['clyde', 'andrew']",Andrew Clyde,False,True,False,False,False,True,False,False,False,True
RepCohen,D,House,-0.399,"['cohen', 'steve']",Steve Cohen,False,True,False,False,False,True,False,False,False,True
ReElectCohen,D,House,-0.399,"['cohen', 'steve']",Steve Cohen,False,True,False,False,False,False,False,True,False,False
TomColeOK04,R,House,0.329,"['cole', 'tom']",Tom Cole,False,True,False,False,False,True,False,False,False,True
RepJamesComer,R,House,0.588,"['comer', 'james']",James Comer,False,True,False,False,False,True,False,False,False,True
JamesComer,R,House,0.588,"['comer', 'james']",James Comer,False,True,False,False,True,False,False,False,False,False
GerryConnolly,D,House,-0.307,"['connolly', 'gerald', 'gerry']",Gerald Gerry Connolly,False,True,False,False,False,True,False,False,False,True
ElectConnolly,D,House,-0.307,"['connolly', 'gerald', 'gerry']",Gerald Gerry Connolly,False,True,False,False,False,False,False,True,False,False
repjimcooper,D,House,-0.164,"['cooper', 'jim']",Jim Cooper,False,True,False,False,False,True,False,False,False,True
CoopForCongress,D,House,-0.164,"['cooper', 'jim']",Jim Cooper,False,True,False,False,True,False,False,False,False,False
RepLouCorrea,D,House,-0.289,"['correa', 'luis']",Luis Correa,False,True,False,False,False,True,False,False,False,True
voteloucorrea,D,House,-0.289,"['correa', 'luis']",Luis Correa,False,True,False,False,False,False,False,True,False,False
RepJimCosta,D,House,-0.194,"['costa', 'jim']",Jim Costa,False,True,False,False,False,True,False,False,False,True
RepJoeCourtney,D,House,-0.342,"['courtney', 'joe']",Joe Courtney,False,True,False,False,False,True,False,False,False,True
JoeCourtneyCT,D,House,-0.342,"['courtney', 'joe']",Joe Courtney,False,True,False,False,False,False,False,True,False,False
RepAngieCraig,D,House,-0.267,"['craig', 'angie']",Angie Craig,False,True,False,False,False,True,False,False,False,True
AngieCraigMN,D,House,-0.267,"['craig', 'angie']",Angie Craig,False,True,False,False,True,False,False,False,False,False
RepRickCrawford,R,House,0.445,"['crawford', 'rick']",Rick Crawford,False,True,False,False,False,True,False,False,False,True
Crawford4Cong,R,House,0.445,"['crawford', 'rick']",Rick Crawford,False,True,False,False,False,False,False,True,False,False
RepDanCrenshaw,R,House,0.429,"['crenshaw', 'dan']",Dan Crenshaw,False,True,False,False,False,True,False,False,False,True
DanCrenshawTX,R,House,0.429,"['crenshaw', 'dan']",Dan Crenshaw,False,True,False,False,True,False,False,False,False,False
RepJasonCrow,D,House,-0.298,"['crow', 'jason']",Jason Crow,False,True,False,False,False,True,False,False,False,True
JasonCrowCO,D,House,-0.298,"['crow', 'jason']",Jason Crow,False,True,False,False,True,False,False,False,False,False
RepCuellar,D,House,-0.228,"['cuellar', 'henry']",Henry Cuellar,False,True,False,False,False,True,False,False,False,True
RepJohnCurtis,R,House,0.475,"['curtis', 'john']",John Curtis,False,True,False,False,False,True,False,False,False,True
CurtisUT,R,House,0.475,"['curtis', 'john']",John Curtis,False,True,False,False,True,False,False,False,False,False
RepDavids,D,House,-0.252,"['davids', 'sharice']",Sharice Davids,False,True,False,False,False,True,False,False,False,True
sharicedavids,D,House,-0.252,"['davids', 'sharice']",Sharice Davids,False,True,False,False,True,False,False,False,False,False
WarrenDavidson,R,House,0.664,"['davidson', 'warren']",Warren Davidson,False,True,False,False,False,True,False,False,False,True
Vote_Davidson,R,House,0.664,"['davidson', 'warren']",Warren Davidson,False,True,False,False,False,False,False,True,False,False
RepDannyDavis,D,House,-0.487,"['davis', 'danny']",Danny Davis,False,True,False,False,False,True,False,False,False,True
DannykDavis7th,D,House,-0.487,"['davis', 'danny']",Danny Davis,False,True,False,False,True,False,False,False,False,False
RodneyDavis,R,House,0.279,"['davis', 'rodney']",Rodney Davis,False,True,False,False,False,True,False,False,False,True
ElectRodney,R,House,0.279,"['davis', 'rodney']",Rodney Davis,False,True,False,False,True,False,False,False,False,False
RepDean,D,House,-0.465,"['dean', 'madeleine']",Madeleine Dean,False,True,False,False,False,True,False,False,False,True
MadeleineDean,D,House,-0.465,"['dean', 'madeleine']",Madeleine Dean,False,True,False,False,False,False,False,True,False,False
RepPeterDeFazio,D,House,-0.427,"['defazio', 'peter']",Peter Defazio,False,True,False,False,False,True,False,False,False,True
DeFazio4Oregon,D,House,-0.427,"['defazio', 'peter']",Peter Defazio,False,True,False,False,True,False,False,False,False,False
RepDianaDeGette,D,House,-0.431,"['degette', 'diana']",Diana Degette,False,True,False,False,False,True,False,False,False,True
DeGette5280,D,House,-0.431,"['degette', 'diana']",Diana Degette,False,True,False,False,False,False,False,True,False,False
rosadelauro,D,House,-0.414,"['delauro', 'rosa']",Rosa Delauro,False,True,False,False,False,True,False,False,False,True
Rosa_DeLauro,D,House,-0.414,"['delauro', 'rosa']",Rosa Delauro,False,True,False,False,False,False,False,True,False,False
RepDelBene,D,House,-0.289,"['delbene', 'suzan']",Suzan Delbene,False,True,False,False,False,True,False,False,False,True
SuzanDelBene,D,House,-0.289,"['delbene', 'suzan']",Suzan Delbene,False,True,False,False,True,False,False,False,False,False
RepValDemings,D,House,-0.322,"['demings', 'val']",Val Demings,False,True,False,False,False,True,False,False,False,True
valdemings,D,House,-0.322,"['demings', 'val']",Val Demings,False,True,False,False,False,False,False,True,False,False
RepDeSaulnier,D,House,-0.526,"['desaulnier', 'mark']",Mark Desaulnier,False,True,False,False,False,True,False,False,False,True
MarkDeSaulnier,D,House,-0.526,"['desaulnier', 'mark']",Mark Desaulnier,False,True,False,False,True,False,False,False,False,False
DesJarlaisTN04,R,House,0.579,"['desjarlais', 'scott']",Scott Desjarlais,False,True,False,False,False,True,False,False,False,True
tndesjarlais,R,House,0.579,"['desjarlais', 'scott']",Scott Desjarlais,False,True,False,False,False,False,False,True,False,False
MarioDB,R,House,0.284,"['balart', 'mario', 'diaz']",Mario Diaz-Balart,False,True,False,False,False,True,False,False,False,True
MarioDBCamp,R,House,0.284,"['balart', 'mario', 'diaz']",Mario Diaz-Balart,False,True,False,False,True,False,False,False,False,False
RepDebDingell,D,House,-0.404,"['dingell', 'debbie']",Debbie Dingell,False,True,False,False,False,True,False,False,False,True
DebDingell,D,House,-0.404,"['dingell', 'debbie']",Debbie Dingell,False,True,False,False,False,False,False,True,False,False
RepLloydDoggett,D,House,-0.402,"['doggett', 'lloyd']",Lloyd Doggett,False,True,False,False,False,True,False,False,False,True
LloydDoggettTX,D,House,-0.402,"['doggett', 'lloyd']",Lloyd Doggett,False,True,False,False,True,False,False,False,False,False
USRepMikeDoyle,D,House,-0.331,"['doyle', 'michael']",Michael Doyle,False,True,False,False,False,True,False,False,False,True
RepJeffDuncan,R,House,0.701,"['duncan', 'jeff']",Jeff Duncan,False,True,False,False,False,True,False,False,False,True
Duncan4Congress,R,House,0.701,"['duncan', 'jeff']",Jeff Duncan,False,True,False,False,False,False,False,True,False,False
DrNealDunnFL2,R,House,0.507,"['dunn', 'neal']",Neal Dunn,False,True,False,False,False,True,False,False,False,True
DunnCampaign,R,House,0.507,"['dunn', 'neal']",Neal Dunn,False,True,False,False,False,False,False,True,False,False
RepTomEmmer,R,House,0.456,"['emmer', 'tom']",Tom Emmer,False,True,False,False,False,True,False,False,False,True
tomemmer,R,House,0.456,"['emmer', 'tom']",Tom Emmer,False,True,False,False,False,False,False,True,False,False
RepEscobar,D,House,-0.446,"['escobar', 'veronica']",Veronica Escobar,False,True,False,False,False,True,False,False,False,True
vgescobar,D,House,-0.446,"['escobar', 'veronica']",Veronica Escobar,False,True,False,False,True,False,False,False,False,False
RepAnnaEshoo,D,House,-0.38,"['eshoo', 'anna']",Anna Eshoo,False,True,False,False,False,True,False,False,False,True
Eshoo4Congress,D,House,-0.38,"['eshoo', 'anna']",Anna Eshoo,False,True,False,False,False,False,False,True,False,False
RepEspaillat,D,House,-0.606,"['espaillat', 'adriano']",Adriano Espaillat,False,True,False,False,False,True,False,False,False,True
EspaillatNY,D,House,-0.606,"['espaillat', 'adriano']",Adriano Espaillat,False,True,False,False,True,False,False,False,False,False
RepRonEstes,R,House,0.641,"['estes', 'ron']",Ron Estes,False,True,False,False,False,True,False,False,False,True
RonEstesKS,R,House,0.641,"['estes', 'ron']",Ron Estes,False,True,False,False,True,False,False,False,False,False
RepDwightEvans,D,House,-0.466,"['evans', 'dwight']",Dwight Evans,False,True,False,False,False,True,False,False,False,True
DwightEvansPA,D,House,-0.466,"['evans', 'dwight']",Dwight Evans,False,True,False,False,False,False,False,True,False,False
RepPatFallon,R,House,0.724,"['fallon', 'pat']",Pat Fallon,False,True,False,False,False,True,False,False,False,True
FallonForTexas,R,House,0.724,"['fallon', 'pat']",Pat Fallon,False,True,False,False,False,False,False,True,False,False
RepFeenstra,R,House,0.442,"['feenstra', 'randy']",Randy Feenstra,False,True,False,False,False,True,False,False,False,True
RandyFeenstra,R,House,0.442,"['feenstra', 'randy']",Randy Feenstra,False,True,False,False,True,False,False,False,False,False
RepDrewFerguson,R,House,0.603,"['ferguson', 'drew']",Drew Ferguson,False,True,False,False,False,True,False,False,False,True
RepFischbach,R,House,0.521,"['fischbach', 'michelle']",Michelle Fischbach,False,True,False,False,False,True,False,False,False,True
michellefischb,R,House,0.521,"['fischbach', 'michelle']",Michelle Fischbach,False,True,False,False,True,False,False,False,False,False
FischbachMN7,R,House,0.521,"['fischbach', 'michelle']",Michelle Fischbach,False,True,False,False,False,False,False,True,False,False
RepFitzgerald,R,House,0.611,"['fitzgerald', 'scott']",Scott Fitzgerald,False,True,False,False,False,True,False,False,False,True
FitzgeraldForWI,R,House,0.611,"['fitzgerald', 'scott']",Scott Fitzgerald,False,True,False,False,True,False,False,False,False,False
RepBrianFitz,R,House,0.157,"['fitzpatrick', 'brian']",Brian Fitzpatrick,False,True,False,False,False,True,False,False,False,True
BrianFitzUSA,R,House,0.157,"['fitzpatrick', 'brian']",Brian Fitzpatrick,False,True,False,False,True,False,False,False,False,False
RepChuck,R,House,0.466,"['fleischmann', 'chuck']",Chuck Fleischmann,False,True,False,False,False,True,False,False,False,True
chuck4congress,R,House,0.466,"['fleischmann', 'chuck']",Chuck Fleischmann,False,True,False,False,True,False,False,False,False,False
RepFletcher,D,House,-0.437,"['fletcher', 'lizzie']",Lizzie Fletcher,False,True,False,False,False,True,False,False,False,True
Lizzie4Congress,D,House,-0.437,"['fletcher', 'lizzie']",Lizzie Fletcher,False,True,False,False,True,False,False,False,False,False
RepBillFoster,D,House,-0.231,"['foster', 'bill']",Bill Foster,False,True,False,False,False,True,False,False,False,True
Foster4Congress,D,House,-0.231,"['foster', 'bill']",Bill Foster,False,True,False,False,False,False,False,True,False,False
virginiafoxx,R,House,0.626,"['foxx', 'virginia']",Virginia Foxx,False,True,False,False,False,True,False,False,False,True
foxxforcongress,R,House,0.626,"['foxx', 'virginia']",Virginia Foxx,False,True,False,False,False,False,False,True,False,False
RepLoisFrankel,D,House,-0.402,"['frankel', 'lois']",Lois Frankel,False,True,False,False,False,True,False,False,False,True
